,CustomerID,Age,AvgMonthlyGBDownload,AvgMonthlyLongDistanceCharges,ChurnCategory,ChurnReason,ChurnScore,City,CLTV,Country,Latitude,Longitude,Married,Referrals,Population,ReferredFriend,SatisfactionScore,StreamingMusic,TotalExtraDataCharges,TotalLongDistanceCharges,TotalRefunds,TotalRevenue,UnlimitedData,ZipCode
47,4307-KWMXE,53,22,0.0,,,59,Llano,2263,United States,34.500091,-117.765862,No,0,1220,No,'3',No,0,0.0,0.0,389.8,Yes,'93544'
48,0906-QVPMS,29,58,35.71,,,26,Monterey,5398,United States,36.362741,-121.869685,Yes,4,32857,Yes,'4',Yes,0,2571.12,0.0,10920.57,Yes,'93940'
49,3643-AHCFP,74,11,21.91,Competitor,Competitor made better offer,83,Selma,3265,United States,36.545322,-119.642281,Yes,1,26213,Yes,'3',No,0,153.37,0.0,797.72,Yes,'93662'
50,9833-TGFHX,62,23,13.23,,,71,San Diego,2170,United States,32.787836,-117.232376,Yes,1,46086,Yes,'3',Yes,150,555.66,46.56,4675.85,No,'92109'
51,2357-COQEK,79,10,28.14,Competitor,Competitor made better offer,78,Atherton,4136,United States,37.454924,-122.203168,No,0,6876,No,'2',No,0,787.92,0.0,3678.57,Yes,'94027'
52,7636-XUHWW,56,0,3.82,,,58,Firebaugh,5824,United States,36.785618,-120.625382,No,0,9491,No,'5',No,0,7.64,0.0,41.34,No,'93622'
53,7501-VTYLJ,21,27,18.61,,,72,Sacramento,4057,United States,38.585826,-121.376263,No,0,23362,No,'3',No,0,37.22,0.0,143.42,Yes,'95864'
54,5676-CFLYY,30,59,16.24,,,68,Ahwahnee,5124,United States,37.375816,-119.739935,Yes,4,1968,Yes,'5',Yes,0,1153.04,0.0,6307.54,Yes,'93601'
55,2391-SOORI,40,27,26.04,Dissatisfaction,Lack of self-service on Website,83,Big Bear City,5858,United States,34.278967,-116.773825,No,0,9899,No,'1',No,0,104.16,0.0,323.81,Yes,'92314'
56,4163-HFTUK,34,0,29.33,,,78,Oxnard,4120,United States,34.156629,-119.117218,No,0,77791,No,'4',No,0,1495.83,0.0,2503.63,No,'93033'
57,5060-TQUQN,19,48,10.24,,,31,Rancho Cucamonga,3558,United States,34.132275,-117.611478,Yes,1,39064,Yes,'3',Yes,0,307.2,0.0,2877.4,Yes,'91701'
58,0621-JFHOL,41,29,0.0,,,62,North Hollywood,3180,United States,34.15136,-118.364786,No,0,16996,No,'3',No,0,0.0,0.0,299.05,Yes,'91602'
59,7161-DFHUF,55,0,21.19,,,77,Shasta,6166,United States,40.617614,-122.512861,Yes,4,528,Yes,'5',No,0,1504.49,0.0,3176.59,No,'96087'
60,9777-WJJPR,46,12,29.77,,,48,Sacramento,4821,United States,38.687367,-121.34848,Yes,9,31373,Yes,'4',No,0,922.87,0.0,3606.07,Yes,'95842'
61,3863-IUBJR,27,26,27.82,Competitor,Competitor had better devices,78,Oakland,2595,United States,37.80707,-122.297401,Yes,1,21054,Yes,'1',Yes,0,333.84,0.0,1030.19,Yes,'94607'
62,9531-NSBMR,44,0,49.85,,,79,Mendocino,4904,United States,39.305545,-123.743697,No,0,2229,No,'3',No,0,1794.6,0.0,2474.4,No,'95460'
63,7878-JGDKK,38,29,30.07,,,45,Selma,2124,United States,36.545322,-119.642281,No,0,26213,No,'3',No,0,120.28,0.0,341.03,Yes,'93662'
64,2612-RANWT,24,47,30.54,Price,Price too high,96,Mount Laguna,3682,United States,32.830852,-116.444601,No,0,81,No,'2',Yes,0,366.48,0.0,1530.78,Yes,'91948'
65,8444-WRIDW,72,24,45.59,Attitude,Attitude of support person,79,Thousand Oaks,5011,United States,34.191842,-118.822796,No,0,33057,No,'2',No,140,3008.94,0.0,8373.29,No,'91362'
66,6394-MFYNG,20,47,5.19,Attitude,Attitude of support person,89,Solana Beach,4956,United States,33.001813,-117.263628,No,0,12173,No,'2',Yes,0,249.12,0.0,5370.42,Yes,'92075'
67,5385-SUIRI,69,23,37.6,Competitor,Competitor offered higher download speeds,68,Delhi,5648,United States,37.422961,-120.765493,Yes,0,10159,No,'1',Yes,0,1955.2,0.0,7523.55,Yes,'95315'
68,4547-KQRTM,60,10,49.7,Competitor,Competitor offered higher download speeds,76,Eldridge,3740,United States,38.348884,-122.51699,No,0,363,No,'1',No,0,497.0,0.0,1327.7,Yes,'95431'
69,7993-PYKOF,20,42,5.34,Dissatisfaction,Network reliability,80,Rio Nido,2587,United States,38.522328,-122.97932,Yes,1,298,Yes,'1',Yes,0,42.72,0.0,675.67,Yes,'95471'
70,4335-BSMJS,55,0,8.23,,,34,Sanger,6201,United States,36.819628,-119.440414,No,0,28991,No,'3',No,0,510.26,0.0,2074.21,No,'93657'
71,2373-NTKOD,40,24,25.72,,,60,Rancho Cordova,3026,United States,38.602723,-121.279913,No,0,49729,No,'5',Yes,0,205.76,0.0,752.21,Yes,'95670'
72,6437-UKHMV,31,16,28.92,Attitude,Attitude of support person,91,Moreno Valley,3109,United States,33.970661,-117.255039,No,0,46214,No,'2',No,0,202.44,0.0,788.49,Yes,'92557'
73,2030-BTZRO,54,0,41.36,,,57,Northridge,4628,United States,34.236683,-118.517588,Yes,1,32307,Yes,'5',No,0,248.16,0.0,355.76,No,'91325'
74,6278-FEPBZ,57,0,2.6,,,68,San Bernardino,5546,United States,34.106922,-117.297553,No,0,44556,No,'4',No,0,23.4,0.0,209.55,No,'92410'
75,1480-IVEVR,76,28,4.16,,,60,Montara,2300,United States,37.540582,-122.509594,Yes,2,2346,Yes,'3',No,0,145.6,0.0,2960.85,Yes,'94037'
76,8746-OQQRW,64,0,3.69,,,43,Hopland,3962,United States,38.93706,-123.118111,No,0,1373,No,'5',No,0,14.76,0.0,116.66,No,'95449'
77,4612-THJBS,68,4,34.58,Attitude,Attitude of service provider,93,Terra Bella,5605,United States,35.939068,-119.043666,No,0,5868,No,'3',No,0,1936.48,0.0,7447.13,Yes,'93270'
78,1410-RSCMR,47,25,49.98,,,30,Edwards,3459,United States,34.966777,-117.961179,Yes,3,7685,Yes,'3',Yes,0,349.86,0.0,865.61,Yes,'93523'
79,3468-DRVQJ,42,26,26.37,,,36,Los Angeles,5496,United States,34.085807,-118.206617,Yes,5,38415,Yes,'4',No,0,263.7,0.0,939.85,Yes,'90031'
80,5327-XOKKY,79,3,11.26,,,29,Santa Maria,5540,United States,34.95934,-120.490081,Yes,7,43684,Yes,'3',Yes,0,810.72,0.0,6139.72,Yes,'93458'
81,4311-QTTAI,63,0,40.95,,,22,Van Nuys,2017,United States,34.17847,-118.459472,No,0,23646,No,'5',No,0,655.2,0.0,950.75,No,'91411'
82,5130-IEKQT,73,22,46.34,Price,Price too high,91,San Francisco,4283,United States,37.794487,-122.42227,No,0,56330,No,'2',No,0,1158.5,0.0,3813.75,Yes,'94109'
83,4588-YBNIB,24,0,5.36,Price,Price too high,91,Fremont,4205,United States,37.516791,-121.899117,No,0,46917,No,'2',No,0,5.36,0.0,24.96,No,'94539'
84,2732-ISEZX,44,0,24.61,,,53,Pacific Grove,5263,United States,36.618337,-121.926417,No,0,15449,No,'3',No,0,123.05,0.0,227.35,No,'93950'
85,3842-QTGDL,59,30,46.0,,,55,Walnut Creek,2942,United States,37.862128,-122.075197,Yes,8,18024,Yes,'3',No,0,736.0,0.0,2057.3,Yes,'94595'
86,6080-LNESI,63,0,18.07,,,46,Hercules,5080,United States,37.991259,-122.214945,No,0,22479,No,'3',No,0,921.57,0.0,2156.17,No,'94547'
87,9992-RRAMN,40,17,16.2,Dissatisfaction,Product dissatisfaction,68,Riverbank,5248,United States,37.734971,-120.954271,Yes,1,16525,Yes,'1',Yes,0,356.4,0.0,2230.1,Yes,'95367'
88,9420-LOJKX,34,20,3.96,Competitor,Competitor offered more data,82,Los Angeles,2966,United States,33.92128,-118.274186,No,0,24511,No,'1',Yes,0,59.4,0.0,1485.8,Yes,'90061'
89,7465-ZZRVX,63,27,14.42,,,32,Ceres,2722,United States,37.553469,-120.952825,No,0,32881,No,'5',No,10,14.42,0.0,94.77,No,'95307'
90,9172-ANCRX,35,28,37.36,Attitude,Attitude of support person,68,Carson,5561,United States,33.822295,-118.26411,No,0,55486,No,'1',Yes,0,373.6,0.0,1346.85,Yes,'90745'
91,3197-ARFOY,67,12,7.95,,,59,Ontario,3524,United States,34.035602,-117.591528,No,0,56280,No,'3',No,20,151.05,0.0,2178.3,No,'91761'
92,1197-BVMVG,65,7,4.29,,,50,Friant,4093,United States,37.027663,-119.69056,No,0,1125,No,'3',No,0,17.16,0.0,311.61,Yes,'93626'
93,9026-RNUJS,73,28,18.69,Dissatisfaction,Product dissatisfaction,81,Van Nuys,4618,United States,34.178483,-118.431791,No,0,40376,No,'1',No,0,93.45,0.0,330.7,Yes,'91401'
94,0023-HGHWL,67,9,0.0,Competitor,Competitor made better offer,85,Morgan Hill,5437,United States,37.161544,-121.649371,No,0,41707,No,'3',No,0,0.0,0.0,25.1,Yes,'95037'
95,9115-YQHGA,26,73,34.49,,,67,Lemoore,3355,United States,36.303666,-119.825657,No,0,30419,No,'5',No,0,1379.6,0.0,3472.5,Yes,'93245'
96,3916-NRPAP,21,30,29.84,,,33,Escalon,5806,United States,37.818543,-121.006907,No,0,11474,No,'5',Yes,0,89.52,0.0,346.27,Yes,'95320'
97,0464-WJTKO,39,0,14.17,,,30,Cedarville,4598,United States,41.505916,-120.152505,Yes,10,857,Yes,'5',No,0,1020.24,0.0,2481.09,No,'96104'
98,9828-AOQLM,37,5,12.8,Competitor,Competitor made better offer,91,San Diego,3187,United States,32.825086,-117.199424,Yes,3,51213,Yes,'1',No,0,12.8,0.0,58.5,Yes,'92117'
99,6992-TKNYO,34,16,32.11,,,23,Richmond,4487,United States,37.921034,-122.341798,Yes,2,39089,Yes,'4',Yes,0,1220.18,0.0,3889.63,Yes,'94804'
100,0722-TROQR,68,29,26.23,Price,Lack of affordable download/upload speed,78,Davis,2122,United States,38.508735,-121.678813,No,0,67411,No,'1',No,0,104.92,0.0,426.67,Yes,'95616'
101,0495-ZBNGW,78,14,6.66,Competitor,Competitor offered more data,90,Loma Mar,4324,United States,37.266388,-122.26308,Yes,1,148,Yes,'2',No,20,33.3,0.0,397.25,No,'94021'
102,3639-XJHKQ,52,20,36.48,,,33,San Jose,2463,United States,37.28682,-121.723877,No,0,15798,No,'3',No,0,693.12,0.0,1990.92,Yes,'95135'
103,8225-BTJAU,75,18,7.51,Competitor,Competitor had better devices,87,Stinson Beach,3856,United States,37.921137,-122.657562,No,0,781,No,'1',No,0,75.1,0.0,868.65,Yes,'94970'
104,9250-WYPLL,20,58,35.22,Competitor,Competitor made better offer,79,Fallbrook,4600,United States,33.362575,-117.299644,No,0,42239,No,'2',Yes,0,176.1,0.0,589.75,Yes,'92028'
105,7268-WNTCP,45,0,1.87,,,21,Blocksburg,5746,United States,40.309088,-123.668201,Yes,2,199,Yes,'4',No,0,115.94,0.0,1413.29,No,'95514'
106,0017-DINOC,47,10,0.0,,,54,Rancho Santa Fe,5435,United States,32.99356,-117.207121,No,0,1072,No,'4',No,0,0.0,0.0,2460.55,Yes,'92091'
107,6402-SSEJG,31,9,0.0,,,76,Ben Lomond,3695,United States,37.078873,-122.090386,No,0,6407,No,'3',Yes,0,0.0,0.0,1540.2,Yes,'95005'
108,5609-IMCGG,44,4,6.22,,,35,Suisun City,3314,United States,38.197907,-122.017258,No,0,39279,No,'3',No,0,93.3,0.0,1395.95,Yes,'94585'
109,8871-JLMHM,27,26,3.41,,,55,Los Angeles,4095,United States,33.92128,-118.274186,Yes,3,24511,Yes,'4',No,0,231.88,0.0,6529.53,Yes,'90061'
110,5334-AFQJB,66,0,2.37,,,74,Simi Valley,5751,United States,34.269449,-118.768471,No,0,64802,No,'5',No,0,170.64,0.0,1960.54,No,'93065'
111,3428-MMGUB,34,10,7.1,,,74,Rio Nido,5874,United States,38.522328,-122.97932,No,0,298,No,'5',No,0,426.0,0.0,5657.2,Yes,'95471'
112,3496-LFSZU,40,5,28.47,,,68,Anaheim,2896,United States,33.844983,-117.952151,Yes,2,60553,Yes,'5',No,10,113.88,0.0,418.08,No,'92801'
113,1475-VWVDO,55,12,34.59,,,52,Dos Palos,5335,United States,37.045728,-120.630682,No,0,9388,No,'3',No,0,242.13,0.0,732.68,Yes,'93620'
114,0334-GDDSO,77,14,9.22,Competitor,Competitor made better offer,73,San Diego,2818,United States,32.85723,-117.209774,No,0,34902,No,'1',No,0,27.66,0.0,261.36,Yes,'92122'
115,9094-AZPHK,64,28,32.07,,,65,San Bernardino,2565,United States,34.142747,-117.300864,No,0,24644,No,'3',Yes,0,481.05,0.0,1896.05,No,'92405'
116,2108-XWMPY,29,85,0.0,Other,Moved,70,Cabazon,2095,United States,33.929812,-116.76058,No,0,2355,No,'1',No,0,0.0,0.0,106.85,Yes,'92230'
117,5075-JSDKI,64,0,41.23,,,26,Woodbridge,6196,United States,38.169605,-121.310964,No,0,4176,No,'4',No,0,2432.57,0.0,3925.67,No,'95258'
118,0221-NAUXK,22,0,7.86,,,48,Moreno Valley,3044,United States,33.923149,-117.244933,No,0,61205,No,'5',No,0,78.6,0.0,298.1,No,'92553'
119,0020-INWCK,58,12,27.26,,,26,Woodlake,4865,United States,36.464635,-119.094348,Yes,9,8870,Yes,'5',Yes,0,1935.46,0.0,8784.86,Yes,'93286'
120,0675-NCDYU,61,20,28.86,,,74,Placentia,6491,United States,33.881158,-117.854783,Yes,1,48170,Yes,'3',Yes,0,2077.92,0.0,10621.17,Yes,'92870'
121,1678-FYZOW,28,76,46.6,Competitor,Competitor offered higher download speeds,90,Sacramento,2448,United States,38.685069,-121.543709,No,0,854,No,'1',No,0,139.8,0.0,384.45,Yes,'95835'
122,2208-UGTGR,62,28,10.99,,,58,Sultana,5601,United States,36.545353,-119.338535,No,0,306,No,'3',Yes,0,615.44,0.0,6196.49,Yes,'93666'
123,3635-QQRQD,19,0,33.68,,,74,Westmorland,4568,United States,33.03679,-115.60503,No,0,2388,No,'4',No,0,2088.16,0.0,3289.81,No,'92281'
124,2951-QOQTK,28,76,42.33,Competitor,Competitor offered higher download speeds,72,Sacramento,5436,United States,38.608405,-121.449942,No,0,25355,No,'2',Yes,0,169.32,0.0,501.77,Yes,'95815'
125,1764-VUUMT,63,0,37.94,,,51,Spreckels,6382,United States,36.624641,-121.647195,No,0,407,No,'4',No,0,2504.04,0.0,3773.14,No,'93962'
126,4988-IQIGL,80,18,28.49,Attitude,Attitude of support person,92,Canoga Park,4403,United States,34.224377,-118.632656,No,0,49242,No,'3',No,0,28.49,0.0,103.84,Yes,'91304'
127,2105-PHWON,41,22,10.34,,,76,Navarro,4639,United States,39.182916,-123.552571,Yes,1,148,Yes,'3',Yes,60,341.22,0.0,3409.37,No,'95463'
128,5275-SQEIZ,64,21,14.91,Competitor,Competitor had better devices,77,Ojai,3096,United States,34.581308,-118.931948,No,0,21633,No,'1',Yes,0,14.91,0.0,95.76,Yes,'93023'
129,4067-HLYQI,43,19,49.45,,,29,Colton,4860,United States,34.030915,-117.273201,No,0,52202,No,'4',No,60,1631.85,0.0,4097.95,No,'92324'
130,0363-QJVFX,22,73,27.69,Attitude,Attitude of service provider,69,Lake Hughes,2541,United States,34.659579,-118.584212,No,0,2771,No,'1',Yes,0,886.08,0.0,4318.98,Yes,'93532'
131,9249-FXSCK,20,52,33.69,Competitor,Competitor offered more data,90,Acampo,4861,United States,38.200231,-121.235034,No,0,6317,No,'1',Yes,0,1751.88,1.27,7667.06,Yes,'95220'
132,7622-NXQZR,29,48,0.0,,,31,Canoga Park,2653,United States,34.224377,-118.632656,No,0,49242,No,'4',No,0,0.0,0.0,810.85,Yes,'91304'
133,5701-YVSVF,68,2,29.15,,,21,Fallbrook,4413,United States,33.362575,-117.299644,Yes,9,42239,Yes,'4',No,0,320.65,0.0,1200.7,Yes,'92028'
134,7596-ZYWBB,19,76,43.29,,,75,Bakersfield,4372,United States,35.392599,-119.245341,No,0,40836,No,'4',No,120,2813.85,0.0,6673.65,No,'93312'
135,1776-SPBWV,43,0,41.72,,,21,Salinas,2272,United States,36.77462,-121.664714,Yes,1,22292,Yes,'5',No,0,1418.48,0.0,2100.58,No,'93907'
136,8882-TLVRW,52,11,0.0,,,53,Big Creek,5987,United States,37.17277,-119.2997,Yes,3,273,Yes,'3',No,0,0.0,0.0,2779.5,Yes,'93605'
137,9503-XJUME,23,0,22.65,,,34,Bolinas,4279,United States,37.943087,-122.72379,No,0,1573,No,'4',No,0,1177.8,0.0,2106.2,No,'94924'
138,0459-SPZHJ,19,69,13.45,,,75,Garden Grove,4652,United States,33.764018,-117.931507,Yes,1,43491,Yes,'4',Yes,0,847.35,0.0,6282.35,Yes,'92843'
139,3276-HDUEG,23,58,32.86,Competitor,Competitor made better offer,78,Temecula,4838,United States,33.507255,-117.029473,No,0,46171,No,'2',No,0,32.86,0.0,107.91,Yes,'92592'
140,1492-QGCLU,51,12,26.84,,,36,San Diego,5957,United States,32.787836,-117.232376,Yes,5,46086,Yes,'5',Yes,0,1422.52,0.0,6038.62,Yes,'92109'
141,3682-YEUWS,27,0,4.16,,,54,Tulelake,4458,United States,41.813521,-121.492666,Yes,4,2595,Yes,'5',No,0,41.6,0.0,295.5,No,'96134'
142,2014-MKGMH,45,22,27.97,,,54,Riverside,4883,United States,33.885499,-117.324959,No,0,17147,No,'4',Yes,0,1286.62,0.0,5961.02,Yes,'92508'
143,1658-TJVOA,65,20,12.67,,,79,Cazadero,4716,United States,38.578807,-123.19338,No,0,1575,No,'3',No,0,76.02,0.0,526.92,Yes,'95421'
144,6870-ECSHE,23,0,46.0,,,39,Sun City,4196,United States,33.707483,-117.200006,No,0,18161,No,'4',No,0,92.0,0.0,126.8,No,'92586'
145,3452-GWUIN,78,27,19.57,,,40,Raisin City,5316,United States,36.594542,-119.905245,Yes,10,265,Yes,'5',No,0,371.83,0.0,2132.08,Yes,'93652'
146,6549-NNDYT,59,7,0.0,,,38,Fresno,2444,United States,36.878709,-119.7645,No,0,45087,No,'3',No,0,0.0,0.0,394.1,Yes,'93720'
147,0402-CQAJN,22,59,24.04,Dissatisfaction,Lack of self-service on Website,83,El Monte,4437,United States,34.074492,-118.01462,No,0,62660,No,'3',Yes,0,889.48,0.0,4434.83,Yes,'91732'
148,3082-WQRVY,73,0,45.76,,,66,Stockton,2962,United States,37.954089,-121.329761,Yes,8,16357,Yes,'5',No,0,640.64,0.0,869.29,No,'95203'
149,5095-ETBRJ,28,69,2.36,,,33,Lakeport,4702,United States,39.080469,-122.955176,Yes,5,11180,Yes,'4',No,0,129.8,0.0,3241.85,Yes,'95453'
150,9278-VZKCD,67,17,4.11,,,49,Norco,4428,United States,33.925833,-117.559639,Yes,1,22443,Yes,'5',No,0,213.72,0.0,5861.67,Yes,'92860'
151,2108-GLPQB,49,10,11.6,,,49,Los Angeles,2950,United States,34.046174,-118.446333,Yes,7,41175,Yes,'5',No,0,290.0,0.0,1695.3,Yes,'90025'
152,4291-YZODP,56,0,49.66,,,62,San Carlos,3810,United States,37.497915,-122.267361,No,0,28098,No,'5',No,0,347.62,0.0,444.42,No,'94070'
